id_usuario,nombre,apellido,fecha_nacimiento,pais,ciudad,biblioteca,sexo,cupones
546,Michael,Garrett,1988-07-08,Belgium,Labuissire,0,M,0
2,Hop,Garza,1988-07-13,Spain,Ceuta,0,M,0
101,Wanda,Strong,1988-07-13,Spain,Palencia,0,H,0
508,Jorden,Bryan,1988-07-14,Belgium,Dampremy,0,H,0
718,Jescie,Ware,1988-07-19,United States,Chattanooga,0,H,0
40,Lisandra,Dunlap,1988-08-05,Spain,Santa Cruz de Tenerife,0,M,0
139,Stone,Moran,1988-08-05,Spain,Ceuta,0,H,0
404,Hammett,Baker,1988-08-08,United Kingdom,Abergele,0,H,0
787,Fletcher,Keith,1988-08-17,United States,Birmingham,0,H,0
336,Constant,Moulin,1988-08-19,France,Cholet,0,H,0
34,Reece,Head,1988-08-22,Spain,Cáceres,0,H,0
133,Marsden,Gentry,1988-08-22,Spain,Vigo,0,H,0
204,Andrew,Harrington,1988-08-30,Russian Federation,Mosocw,0,H,0
764,Summer,Nash,1988-08-30,United States,Davenport,0,M,0
374,Luna,Durand,1988-08-31,France,Saintes,0,H,0
430,Philip,Klein,1988-08-31,United Kingdom,Weymouth,0,M,0
542,Hilary,Pickett,1988-09-09,Belgium,Temploux,0,H,0
715,Pandora,Simpson,1988-09-10,United States,Milwaukee,0,H,0
30,Signe,Terry,1988-09-12,Spain,Alcorcón,0,H,0
129,Cedric,Sweet,1988-09-12,Spain,Huesca,0,M,0
465,Grady,Wiley,1988-09-26,United Kingdom,Tywyn,0,H,0
736,Phoebe,Nolan,1988-10-13,United States,Shreveport,0,M,0
774,Josephine,Jacobs,1988-10-13,United States,Tallahassee,0,M,0
609,Germane,Hines,1988-10-20,Austria,Schwaz,0,H,0
702,Maile,Cline,1988-10-20,United States,North Las Vegas,0,M,0
342,Lola,Richard,1988-11-07,France,Poitiers,0,H,0
29,Martina,Jacobson,1988-11-29,Spain,Pamplona,0,M,0
128,Phelan,Jones,1988-11-29,Spain,Donosti,0,M,0
349,Fanny,Charpentier,1988-11-30,France,Moulins,0,H,0
698,Phelan,William,1988-12-10,Austria,Vienna,0,M,0
233,India,Booker,1988-12-18,Russian Federation,Raychikhinsk,0,H,0
339,Mathéo,Marechal,1988-12-31,France,Dijon,0,H,0
248,Chase,Delaney,1989-01-09,Russian Federation,Koryazhma,0,M,0
598,Alvin,Emerson,1989-01-11,Belgium,Braives,0,H,0
578,Kirestin,Nash,1989-01-25,Belgium,Grandrieu,0,H,0
552,Lana,Sargent,1989-01-31,Belgium,Sterrebeek,0,H,0
531,Ferris,Herrera,1989-02-06,Belgium,Merksplas,0,M,0
413,Bo,Chase,1989-02-18,United Kingdom,St. Neots,0,M,0
354,Zacharis,Legrand,1989-02-19,France,Nice,0,M,0
63,Elizabeth,Vance,1989-02-28,Spain,Santander,0,H,0
162,Naomi,Sullivan,1989-02-28,Spain,Oviedo,0,H,0
511,Portia,Ferrell,1989-03-06,Belgium,Zaventem,0,M,0
730,Cedric,Parker,1989-03-10,United States,North Las Vegas,0,H,0
738,Amy,Townsend,1989-03-23,United States,Gresham,0,H,0
515,Nigel,Wood,1989-04-02,Belgium,Gierle,0,H,0
399,Clotilde,Nguyen,1989-04-06,France,Aurillac,0,H,0
69,April,Keith,1989-04-08,Spain,Lugo,0,M,0
168,Ira,Sheppard,1989-04-08,Spain,Tarrasa,0,M,0
306,Lou,Riviere,1989-04-08,France,Laon,0,H,0
11,Phoebe,Knowles,1989-04-23,Spain,Ciudad Real,0,M,0
110,Alec,Porter,1989-04-23,Spain,Ceuta,0,H,0
94,Felix,Fletcher,1989-04-28,Spain,Tarragona,0,H,0
193,Karleigh,Carpenter,1989-04-28,Spain,Cáceres,0,M,0
201,Heidi,Moran,1989-05-14,Russian Federation,Bronnitsy,0,H,0
486,Maris,Armstrong,1989-05-14,United Kingdom,Buckley,0,H,0
281,Rhiannon,Black,1989-05-22,Russian Federation,Ulyanovsk,0,M,0
525,Jonas,Weber,1989-05-23,Belgium,Promo-Control,0,H,0
202,Jacqueline,Evans,1989-06-05,Russian Federation,Yekaterinburg,0,M,0
488,Alan,Berger,1989-06-25,United Kingdom,Newcastle-upon-Tyne,0,H,0
440,Jaime,Strong,1989-06-29,United Kingdom,Bloxham,0,M,0
279,Lacy,Franklin,1989-07-18,Russian Federation,Nizhny,0,M,0
235,Leilani,Coffey,1989-08-13,Russian Federation,Kemerovo,0,M,0
536,Scott,Pollard,1989-08-21,Belgium,Anderlecht,0,H,0
353,Clémence,Francois,1989-08-22,France,Brest,0,H,0
553,Clementine,Dodson,1989-09-02,Belgium,Sint-Joost-ten-Node,0,H,0
254,Justin,Frederick,1989-09-07,Russian Federation,Ryazan,0,H,0
483,Samantha,Quinn,1989-09-14,United Kingdom,Gateshead,0,H,0
595,Reece,Klein,1989-09-23,Belgium,Grand-RosiŽre-Hottomont,0,M,0
327,Chloé,Guerin,1989-09-25,France,Boulogne-Billancourt,0,H,0
798,Selma,Odom,1989-10-04,United States,Sandy,0,H,0
477,Kirsten,Graham,1989-10-11,United Kingdom,St. Asaph,0,M,0
585,Pamela,Stein,1989-10-16,Belgium,Onze-Lieve-Vrouw-Lombeek,0,H,0
80,Hilary,Frost,1989-10-21,Spain,Logroño,0,H,0
179,Lyle,Harrington,1989-10-21,Spain,Cáceres,0,M,0
67,Kadeem,Wilder,1989-10-24,Spain,Vigo,0,H,0
166,Brenda,Black,1989-10-24,Spain,Algeciras,0,M,0
403,Shannon,Rodgers,1989-10-26,United Kingdom,Banff,0,H,0
301,Élisa,Caron,1989-11-09,France,Calais,0,H,0
250,Sonya,Blanchard,1989-11-10,Russian Federation,Tver,0,M,0
560,Rafael,Kent,1989-11-12,Belgium,Plainevaux,0,M,0
218,Merrill,Sharp,1989-11-24,Russian Federation,Krasnoznamensk,0,H,0
539,Brandon,Vincent,1989-11-28,Belgium,Damme,0,H,0
618,Sophia,Crane,1989-12-09,Austria,Völkermarkt,0,H,0
205,Kalia,Ruiz,1989-12-29,Russian Federation,Tolyatti,0,H,0
555,Sebastian,Kent,1989-12-31,Belgium,Champion,0,H,0
710,Jillian,Foster,1989-12-31,United States,Henderson,0,H,0
232,Pandora,Carlson,1990-01-08,Russian Federation,Sakhalin,0,H,0
654,May,Medina,1990-01-14,Austria,Eisenstadt,0,H,0
706,Inga,Richardson,1990-01-15,United States,Springfield,0,H,0
724,Harding,Bishop,1990-01-21,United States,Orlando,0,M,0
652,Hyatt,Gross,1990-01-27,Austria,Altach,0,M,0
747,Pearl,Parker,1990-02-04,United States,Overland Park,0,M,0
57,Harriet,Campos,1990-02-07,Spain,Logroño,0,H,0
156,Sebastian,Melton,1990-02-07,Spain,Oviedo,0,M,0
634,Francis,Carson,1990-02-09,Austria,Vienna,0,H,0
520,Victoria,Wells,1990-02-12,Belgium,Herne,0,H,0
587,Jessamine,Buckley,1990-02-19,Belgium,Stekene,0,M,0
313,Ethan,Fernandez,1990-03-01,France,Troyes,0,M,0
433,Eden,Hansen,1990-03-01,United Kingdom,Balfour,0,M,0
453,Melodie,Roth,1990-03-04,United Kingdom,Montgomery,0,H,0
535,Molly,Stokes,1990-03-06,Belgium,Zaventem,0,M,0
66,Cassady,Clarke,1990-03-13,Spain,Cáceres,0,M,0
165,Griffin,Henson,1990-03-13,Spain,Telde,0,H,0
302,Benjamin,Jacquet,1990-03-26,France,Épernay,0,M,0
348,Bruno,Humbert,1990-03-28,France,Caen,0,M,0
20,Adam,Hale,1990-04-02,Spain,Palencia,0,H,0
119,Ivy,Grimes,1990-04-02,Spain,Lugo,0,H,0
14,Vaughan,Mclaughlin,1990-04-22,Spain,Sevilla,0,H,0
113,Brittany,Hickman,1990-04-22,Spain,Santander,0,H,0
753,Hyacinth,Riggs,1990-04-24,United States,Baton Rouge,0,H,0
294,Myles,Mcfadden,1990-04-27,Russian Federation,Gubkin,0,H,0
550,Brody,Pickett,1990-04-30,Belgium,Knokke,0,M,0
273,Wynne,Mejia,1990-05-06,Russian Federation,Kaluga,0,H,0
708,Blair,Gentry,1990-05-10,United States,Gillette,0,H,0
450,McKenzie,Hale,1990-05-19,United Kingdom,Glenrothes,0,M,0
333,Julien,Richard,1990-05-21,France,Vertou,0,M,0
350,Bruno,Breton,1990-05-29,France,Orléans,0,M,0
606,Gray,Doyle,1990-06-01,Austria,Voitsberg,0,H,0
225,Jayme,Maxwell,1990-06-04,Russian Federation,Oryol,0,H,0
90,Idona,Olson,1990-06-27,Spain,Segovia,0,M,0
189,Dana,Hickman,1990-06-27,Spain,Baracaldo,0,M,0
592,Olympia,Hayes,1990-07-30,Belgium,Boignee,0,M,0
497,Brian,Faulkner,1990-08-12,United Kingdom,Troon,0,M,0
478,Ivory,Marsh,1990-08-13,United Kingdom,Bournemouth,0,H,0
384,Félix,Roger,1990-09-02,France,Épernay,0,H,0
352,Capucine,Albert,1990-09-17,France,Joué-lès-Tours,0,H,0
8,Xenos,Navarro,1990-10-17,Spain,Murcia,0,H,0
107,Jameson,Puckett,1990-10-17,Spain,Burgos,0,M,0
562,Astra,Castro,1990-11-04,Belgium,Laarne,0,H,0
226,Sierra,Welch,1990-11-09,Russian Federation,Tambov,0,H,0
13,Germane,Love,1990-11-11,Spain,Jerez de la Frontera,0,H,0
112,Unity,Oneal,1990-11-11,Spain,Cartagena,0,M,0
573,Armand,Ruiz,1990-11-22,Belgium,Grand-Manil,0,M,0
685,Christian,Holmes,1990-11-25,Austria,St. Andrä,0,M,0
216,Bertha,Sharp,1990-12-08,Russian Federation,Penza,0,H,0
56,Samantha,Shaffer,1990-12-13,Spain,Palma de Mallorca,0,M,0
155,Gabriel,Craft,1990-12-13,Spain,Lugo,0,M,0
632,Vivien,Ewing,1990-12-25,Austria,Hall in Tirol,0,H,0
460,Maggy,Cobb,1991-01-11,United Kingdom,Thurso,0,M,0
571,Len,Tate,1991-01-12,Belgium,Naninne,0,H,0
565,Yardley,Young,1991-01-20,Belgium,Oostakker,0,H,0
495,Todd,Bishop,1991-01-22,United Kingdom,Sunderland,0,M,0
484,Abdul,Fleming,1991-02-08,United Kingdom,Lerwick,0,H,0
275,Ria,Cortez,1991-02-12,Russian Federation,Yaroslavl,0,M,0
576,Amber,Alford,1991-02-14,Belgium,Strombeek-Bever,0,H,0
341,Jade,Richard,1991-02-26,France,Chartres,0,M,0
199,Caryn,Fitzpatrick,1991-03-02,Spain,Soria,0,H,0
411,Nevada,Church,1991-03-05,United Kingdom,Brampton,0,M,0
554,Calista,Bennett,1991-03-12,Belgium,Sint-Pieters-Woluwe,0,M,0
55,Blossom,Stevenson,1991-03-13,Spain,Palma de Mallorca,0,M,0
154,Chaney,Francis,1991-03-13,Spain,Palma de Mallorca,0,H,0
649,Sonia,Wyatt,1991-03-16,Austria,Hard,0,H,0
729,Sade,Hooper,1991-03-19,United States,Allentown,0,M,0
458,Adele,Francis,1991-03-22,United Kingdom,Alloa,0,H,0
607,Sybil,Barber,1991-03-26,Austria,Knittelfeld,0,M,0
79,Lysandra,Arnold,1991-04-10,Spain,Burgos,0,M,0
178,Moana,Johnson,1991-04-10,Spain,Pamplona,0,H,0
237,Shad,Hardy,1991-04-28,Russian Federation,Oryol,0,H,0
661,Iris,Rocha,1991-04-30,Austria,Kapfenberg,0,M,0
740,Erica,Hall,1991-05-09,United States,Rockford,0,M,0
362,Charlotte,Nicolas,1991-05-12,France,Aix-en-Provence,0,H,0
18,Ifeoma,Romero,1991-05-20,Spain,Ceuta,0,H,0
117,Nicole,Britt,1991-05-20,Spain,Jaén,0,H,0
591,Bradley,Roman,1991-05-30,Belgium,Laken,0,H,0
759,Kevin,Wagner,1991-06-12,United States,Idaho Falls,0,H,0
443,Eugenia,Pugh,1991-06-15,United Kingdom,Gretna,0,H,0
449,Cedric,Mcconnell,1991-06-19,United Kingdom,Dunfermline,0,H,0
436,Flynn,Guy,1991-06-20,United Kingdom,Eyemouth,0,H,0
437,Wyoming,Jimenez,1991-06-21,United Kingdom,Cannock,0,H,0
506,Kylie,Cervantes,1991-06-28,Belgium,Bossire,0,H,0
219,Katell,Chan,1991-07-03,Russian Federation,Vologda,0,H,0
680,Cathleen,Best,1991-07-19,Austria,Kitzbühel,0,H,0
617,Ignatius,Gilbert,1991-07-25,Austria,Leoben,0,H,0
631,Channing,Allison,1991-08-19,Austria,Traun,0,M,0
427,Alika,Davis,1991-08-21,United Kingdom,Skegness,0,H,0
549,Ronan,Arnold,1991-08-23,Belgium,Crehen,0,H,0
277,Katelyn,Wynn,1991-08-27,Russian Federation,Sevastopol,0,M,0
726,Warren,Miller,1991-08-28,United States,Kenosha,0,H,0
705,Xerxes,Fisher,1991-08-30,United States,Huntsville,0,H,0
572,Orlando,Mccall,1991-09-11,Belgium,Aalst,0,H,0
58,Christopher,Jefferson,1991-09-12,Spain,Zaragoza,0,M,0
157,Taylor,Clemons,1991-09-12,Spain,Segovia,0,H,0
77,Zenia,Kidd,1991-10-05,Spain,Reus,0,M,0
176,Jonah,Dale,1991-10-05,Spain,Albacete,0,M,0
85,Addison,Barlow,1991-10-09,Spain,Badajoz,0,M,0
184,Mollie,Hull,1991-10-09,Spain,Huesca,0,H,0
260,Mona,Vargas,1991-10-10,Russian Federation,Yaroslavl,0,H,0
318,Rémi,Jacquet,1991-10-10,France,Narbonne,0,M,0
672,Aurora,Sawyer,1991-10-10,Austria,Mödling,0,H,0
369,Syrine,Guyot,1991-10-21,France,Creil,0,M,0
229,Yoshio,Sullivan,1991-11-03,Russian Federation,Pskov,0,M,0
21,Edan,Salazar,1991-11-10,Spain,Murcia,0,H,0
120,Brennan,Patterson,1991-11-10,Spain,Bilbo,0,H,0
420,Donna,Jordan,1991-11-13,United Kingdom,Kettering,0,H,0
7,Quon,Juarez,1991-11-15,Spain,A Coruña,0,M,0
106,Lavinia,Castro,1991-11-15,Spain,Logroño,0,H,0
252,Teegan,Orr,1991-12-02,Russian Federation,Tambov,0,M,0
26,Karyn,Munoz,1991-12-03,Spain,Elx,0,H,0
125,Lynn,Stokes,1991-12-03,Spain,Telde,0,H,0
534,Bevis,Morris,1991-12-11,Belgium,Mellet,0,H,0
448,Keaton,Pittman,1991-12-23,United Kingdom,Brora,0,M,0
236,Wesley,Carr,1991-12-30,Russian Federation,Penza,0,H,0
624,Merrill,Grimes,1992-01-15,Austria,Neunkirchen,0,M,0
415,Yen,Nixon,1992-01-17,United Kingdom,Lancaster,0,H,0
72,Aurora,Ray,1992-02-03,Spain,Madrid,0,H,0
171,Cade,Morin,1992-02-03,Spain,Cuenca,0,H,0
54,Macy,Gallagher,1992-02-23,Spain,Barcelona,0,H,0
153,Aaron,Terrell,1992-02-23,Spain,Palencia,0,H,0
457,Kylie,Mack,1992-03-12,United Kingdom,Falkirk,0,H,0
9,Maya,Shelton,1992-03-14,Spain,Murcia,0,H,0
108,Travis,Johns,1992-03-14,Spain,Soria,0,H,0
38,Ian,Sanford,1992-03-17,Spain,Alacant,0,H,0
137,Vera,Henson,1992-03-17,Spain,Oviedo,0,H,0
283,Andrew,Russo,1992-03-23,Russian Federation,Blagoveshchensk,0,M,0
319,Lauriane,Bourgeois,1992-03-30,France,Auxerre,0,M,0
296,Daria,Ortega,1992-04-02,Russian Federation,Novosibirsk,0,H,0
558,Chastity,Vaughan,1992-04-06,Belgium,Oelegem,0,H,0
646,Brock,Murray,1992-04-12,Austria,Großpetersdorf,0,H,0
289,Rosalyn,Wilkinson,1992-04-14,Russian Federation,Ulyanovsk,0,M,0
432,Cooper,Good,1992-04-16,United Kingdom,Scalloway,0,M,0
222,Caldwell,Thomas,1992-04-21,Russian Federation,Rostov,0,M,0
637,Preston,Rodriquez,1992-04-28,Austria,Vienna,0,H,0
12,Elaine,Weaver,1992-05-12,Spain,Parla,0,M,0
111,Gail,Erickson,1992-05-12,Spain,Torrevieja,0,M,0
282,Mariam,Arnold,1992-05-22,Russian Federation,Yaroslavl,0,M,0
456,Caleb,Riddle,1992-05-25,United Kingdom,Barrhead,0,H,0
309,Catherine,Jacquet,1992-06-08,France,Lorient,0,H,0
758,Idola,Oneill,1992-06-08,United States,Southaven,0,M,0
291,Howard,Lucas,1992-06-16,Russian Federation,Tomsk,0,H,0
629,Melanie,Baker,1992-06-16,Austria,Amstetten,0,M,0
220,Joshua,Zimmerman,1992-06-21,Russian Federation,Znamensk,0,H,0
639,Taylor,Burns,1992-06-24,Austria,Lauterach,0,H,0
44,Kendall,Dillon,1992-06-26,Spain,Melilla,0,M,0
143,Barry,Rivers,1992-06-26,Spain,Leganés,0,H,0
261,Cairo,Giles,1992-06-27,Russian Federation,Koryazhma,0,M,0
444,Kimberly,Logan,1992-06-28,United Kingdom,Lochranza,0,H,0
667,Patrick,Kinney,1992-07-01,Austria,Landeck,0,H,0
391,Martin,Pasquier,1992-07-11,France,Blois,0,H,0
517,Holly,Diaz,1992-07-15,Belgium,Sint-Martens-Bodegem,0,M,0
227,Honorato,Curtis,1992-07-17,Russian Federation,Saratov,0,M,0
772,Flynn,Price,1992-07-17,United States,Laramie,0,H,0
346,Émile,Martin,1992-07-21,France,Vernon,0,M,0
545,Wyoming,Prince,1992-07-27,Belgium,Londerzeel,0,M,0
691,Rose,Shields,1992-07-28,Austria,Judenburg,0,H,0
668,John,Jarvis,1992-08-16,Austria,Saalfelden am Steinernen Meer,0,M,0
93,Nigel,Stark,1992-08-27,Spain,Lugo,0,M,0
192,Phyllis,Mercado,1992-08-27,Spain,Logroño,0,M,0
397,Bienvenue,Giraud,1992-08-29,France,Forbach,0,M,0
278,Gareth,Walters,1992-09-21,Russian Federation,Saratov,0,H,0
586,Helen,Guthrie,1992-10-06,Belgium,Villers-la-Tour,0,H,0
796,Keelie,Garrett,1992-10-28,United States,Bridgeport,0,H,0
370,Robin,Rey,1992-11-06,France,Sète,0,H,0
383,Eva,Muller,1992-11-18,France,Rouen,0,H,0
466,Maisie,Barr,1992-11-29,United Kingdom,Dorchester,0,M,0
451,Shaeleigh,Hickman,1992-12-01,United Kingdom,Bath,0,H,0
84,Liberty,Dickerson,1992-12-02,Spain,Santa Cruz de Tenerife,0,H,0
183,Kaitlin,Brooks,1992-12-02,Spain,L'Hospitalet de Llobregat,0,M,0
337,Alice,Vidal,1992-12-11,France,Béziers,0,H,0
51,Ingrid,Quinn,1992-12-13,Spain,Cartagena,0,M,0
150,Iliana,Rich,1992-12-13,Spain,Valladolid,0,M,0
305,Thibault,Gomez,1992-12-31,France,Colmar,0,M,0
785,Odette,Christian,1993-01-15,United States,Springfield,0,H,0
464,Amanda,Owen,1993-02-24,United Kingdom,Southwell,0,M,0
732,Hayes,Mckee,1993-02-24,United States,Knoxville,0,M,0
613,Daryl,Richmond,1993-02-27,Austria,Oberwart,0,H,0
372,Esteban,Giraud,1993-03-10,France,Rueil-Malmaison,0,H,0
663,Brenna,Bright,1993-03-12,Austria,Bischofshofen,0,H,0
373,Rosalie,Dupont,1993-03-14,France,Châlons-en-Champagne,0,M,0
641,Kennan,Workman,1993-03-15,Austria,Leoben,0,H,0
575,Rinah,Bowen,1993-03-16,Belgium,Bevel,0,H,0
320,Jeanne,Louis,1993-03-25,France,Anglet,0,H,0
255,Dale,Santiago,1993-04-05,Russian Federation,Kaliningrad,0,M,0
240,Katell,Forbes,1993-04-08,Russian Federation,Yekaterinburg,0,M,0
589,Blossom,Duke,1993-04-09,Belgium,Sint-Renelde Saintes,0,M,0
417,Phillip,Dean,1993-04-13,United Kingdom,Newtonmore,0,M,0
217,Hilda,Cochran,1993-04-26,Russian Federation,Tula,0,H,0
200,Colette,Shaw,1993-04-27,Spain,Zaragoza,0,M,0
647,Freya,Simmons,1993-05-03,Austria,Graz,0,M,0
293,Ava,Schroeder,1993-05-08,Russian Federation,Omsk,0,M,0
364,Louise,Prevost,1993-05-10,France,Moulins,0,M,0
307,Lena,Gautier,1993-05-14,France,Le Grand-Quevilly,0,M,0
393,Lucas,Royer,1993-05-22,France,Brive-la-Gaillarde,0,M,0
516,Alea,Contreras,1993-06-03,Belgium,Sint-Michiels,0,M,0
400,Enzo,Meunier,1993-06-10,France,Le Petit-Quevilly,0,H,0
407,Xavier,Spence,1993-06-23,United Kingdom,Manchester,0,M,0
608,Dorian,Hewitt,1993-06-30,Austria,Leonding,0,H,0
259,Kessie,Rosales,1993-07-06,Russian Federation,Tolyatti,0,M,0
620,Palmer,Holman,1993-08-06,Austria,Leoben,0,H,0
290,Nola,Christian,1993-08-08,Russian Federation,Tambov,0,M,0
742,Claire,Gallegos,1993-08-16,United States,Green Bay,0,M,0
743,Hannah,Horne,1993-08-20,United States,Lewiston,0,H,0
677,Cade,Cohen,1993-08-24,Austria,Judenburg,0,M,0
526,Mary,Castro,1993-08-29,Belgium,Minderhout,0,M,0
688,Melissa,Marquez,1993-09-21,Austria,Klosterneuburg,0,H,0
355,Margaux,Henry,1993-09-25,France,Brive-la-Gaillarde,0,H,0
253,Claudia,Gardner,1993-09-28,Russian Federation,Saratov,0,H,0
98,Basil,Bowers,1993-10-16,Spain,Girona,0,M,0
197,Hashim,Drake,1993-10-16,Spain,Palma de Mallorca,0,M,0
596,Damon,Talley,1993-10-22,Belgium,Neder-Over-Heembeek,0,M,0
621,Noah,Mills,1993-11-03,Austria,Hollabrunn,0,H,0
496,Mechelle,Crawford,1993-11-09,United Kingdom,Armadale,0,M,0
521,Jakeem,Bender,1993-11-09,Belgium,Perk,0,M,0
224,Fiona,Barnes,1993-11-18,Russian Federation,Kaluga,0,M,0
689,Stella,Dunn,1993-12-09,Austria,Wörgl,0,M,0
579,Hop,Fleming,1993-12-13,Belgium,Ehein,0,H,0
287,Micah,Ochoa,1993-12-17,Russian Federation,Narimanov,0,M,0
88,Winter,Garcia,1994-01-07,Spain,Gasteiz,0,H,0
187,Xerxes,Mayer,1994-01-07,Spain,Oviedo,0,M,0
633,April,Reeves,1994-01-08,Austria,Eisenstadt,0,H,0
695,Addison,Mack,1994-01-14,Austria,Hard,0,M,0
500,Chloe,Prince,1994-01-15,United Kingdom,Roxburgh,0,H,0
89,Amela,Bullock,1994-01-16,Spain,Palma de Mallorca,0,M,0
188,Echo,Mcclure,1994-01-16,Spain,Teruel,0,H,0
23,Alma,Browning,1994-01-19,Spain,Pontevedra,0,H,0
122,Wilma,Strickland,1994-01-19,Spain,Logroño,0,M,0
569,Rhona,Hayes,1994-01-20,Belgium,Leers-et-Fosteau,0,M,0
780,Anthony,Chavez,1994-02-09,United States,Harrisburg,0,H,0
428,Lawrence,Lynn,1994-02-11,United Kingdom,Newtonmore,0,H,0
725,Rae,Fuller,1994-02-14,United States,Boston,0,H,0
209,Belle,Cross,1994-02-15,Russian Federation,Penza,0,H,0
566,Emily,Cohen,1994-02-15,Belgium,Schore,0,M,0
510,Kato,Griffin,1994-02-27,Belgium,Roux-Miroir,0,M,0
490,Sierra,Hodge,1994-03-14,United Kingdom,Linton,0,H,0
765,Flynn,Salinas,1994-03-19,United States,Columbia,0,H,0
770,Kristen,Richardson,1994-03-20,United States,Norfolk,0,M,0
469,Ayanna,Burke,1994-03-28,United Kingdom,Truro,0,M,0
426,Cassady,Nolan,1994-04-03,United Kingdom,Blackwood,0,M,0
789,Armando,Porter,1994-04-13,United States,Bellevue,0,H,0
401,Honorato,Workman,1994-04-17,United Kingdom,Hastings,0,H,0
756,Thaddeus,Daniels,1994-05-01,United States,Norman,0,M,0
556,Jaden,Hart,1994-05-12,Belgium,Longvilly,0,H,0
455,Mechelle,Chapman,1994-05-16,United Kingdom,Wells,0,H,0
773,Ulysses,Rosario,1994-05-22,United States,Norfolk,0,M,0
242,Colt,Joyner,1994-05-24,Russian Federation,Smolensk,0,H,0
221,Keith,Kemp,1994-05-25,Russian Federation,Novosibirsk,0,H,0
272,Paula,Phelps,1994-05-27,Russian Federation,Kurgan,0,H,0
434,Tyler,Carey,1994-06-01,United Kingdom,Newcastle-upon-Tyne,0,H,0
766,Igor,Daniel,1994-06-04,United States,Columbus,0,M,0
590,Dustin,Powers,1994-06-15,Belgium,Vorst,0,H,0
438,Cain,Long,1994-06-19,United Kingdom,Mold,0,M,0
656,Ila,Lynch,1994-06-21,Austria,Rum,0,M,0
664,Akeem,Ramsey,1994-07-03,Austria,Klagenfurt,0,M,0
376,Clara,Marchal,1994-07-05,France,Antibes,0,H,0
3,Hoyt,Whitaker,1994-07-24,Spain,Santa Coloma de Gramenet,0,M,0
102,Fatima,Harding,1994-07-24,Spain,Valéncia,0,M,0
357,Zoé,Etienne,1994-07-25,France,Vandoeuvre-lès-Nancy,0,H,0
700,Macey,Curtis,1994-07-31,Austria,Bischofshofen,0,M,0
387,Gabin,Humbert,1994-09-05,France,Blois,0,M,0
347,Lisa,Andre,1994-09-07,France,Béziers,0,M,0
365,Marwane,Lacroix,1994-09-12,France,Belfort,0,H,0
686,Regina,Grimes,1994-09-20,Austria,Völkermarkt,0,H,0
269,Rowan,Mathis,1994-10-07,Russian Federation,Yaroslavl,0,M,0
76,Gage,Mcgowan,1994-11-24,Spain,Murcia,0,M,0
175,Faith,Marquez,1994-11-24,Spain,Granada,0,M,0
669,Mason,Welch,1994-12-11,Austria,Lustenau,0,M,0
445,Cleo,Glass,1994-12-21,United Kingdom,Cardigan,0,M,0
532,Cameron,Daniels,1994-12-24,Belgium,Borgerhout,0,M,0
431,Cassady,Hewitt,1994-12-25,United Kingdom,Banff,0,M,0
31,Francis,Baxter,1995-01-06,Spain,Melilla,0,M,0
130,Armando,Mcdaniel,1995-01-06,Spain,Ceuta,0,H,0
614,Shannon,Adkins,1995-01-18,Austria,Hollabrunn,0,H,0
402,Quamar,Petersen,1995-02-03,United Kingdom,Balfour,0,M,0
47,Kitra,Oneil,1995-02-04,Spain,Cáceres,0,M,0
146,Cooper,Beasley,1995-02-04,Spain,Zaragoza,0,H,0
